10.1034/j.1600-0412.2003.820107.x	0001-6349
10.1037/0022-3514.58.6.937	0022-3514
10.1037/0022-3514.58.6.952	0022-3514
10.1037/0022-3514.58.6.994	0022-3514
10.1037/0022-3514.59.1.102	1939-1315
10.1037/0022-3514.59.1.112	1939-1315
10.1037/0022-3514.59.1.61	1939-1315
10.1037/0022-3514.59.1.91	0022-3514
10.1037/0022-3514.59.2.173	0022-3514
10.1037/0022-3514.59.2.229	1939-1315
10.1037/0022-3514.59.2.249	0022-3514
10.1037/0022-3514.59.2.270	0022-3514
10.1037/0022-3514.59.2.291	0022-3514
10.1037/0022-3514.59.3.411	1939-1315
10.1037/0022-3514.59.4.623	1939-1315
10.1037/0022-3514.59.4.705	0022-3514
10.1037/0022-3514.59.5.941	0022-3514
10.1037/0022-3514.59.5.971	0022-3514
10.1037/0022-3514.59.5.981	0022-3514
10.1037/0022-3514.59.5.994	1939-1315
10.1037/0022-3514.59.6.1216	1939-1315
10.1037/0022-3514.59.6.1238	1939-1315
10.1037/0022-3514.60.1.24	0022-3514
10.1037/0022-3514.60.1.89	1939-1315
10.1037/0022-3514.60.2.181	1939-1315
10.1037/0022-3514.60.2.218	1939-1315
10.1037/0022-3514.60.2.229	0022-3514
10.1037/0022-3514.60.2.241	0022-3514
10.1037/0022-3514.60.2.263	1939-1315
10.1037/0022-3514.60.3.362	0022-3514
10.1037/0022-3514.60.3.398	0022-3514
10.1037/0022-3514.60.4.485	0022-3514
10.1037/0022-3514.60.4.545	1939-1315
10.1037/0022-3514.60.5.649	0022-3514
10.1037/0022-3514.60.5.685	0022-3514
10.1037/0022-3514.60.5.711	0022-3514
10.1037/0022-3514.60.6.817	1939-1315
10.1037/0022-3514.60.6.831	1939-1315
10.1037/0022-3514.60.6.861	1939-1315
10.1037/0022-3514.60.6.870	1939-1315
10.1037/0022-3514.60.6.884	1939-1315
10.1037/0022-3514.61.1.122	1939-1315
10.1037/0022-3514.61.1.132	1939-1315
10.1037/0022-3514.61.1.35	1939-1315
10.1037/0022-3514.61.1.50	1939-1315
10.1037/0022-3514.61.2.195	0022-3514
10.1037/0022-3514.61.2.226	1939-1315
10.1037/0022-3514.61.3.366	1939-1315
10.1037/0022-3514.61.3.380	1939-1315
10.1037/0022-3514.61.3.392	1939-1315
10.1037/0022-3514.61.4.521	1939-1315
10.1037/0022-3514.61.4.555	1939-1315
10.1037/0022-3514.61.4.590	1939-1315
10.1037/0022-3514.61.4.598	1939-1315
10.1037/0022-3514.61.4.648	1939-1315
10.1037/0022-3514.61.5.721	1939-1315
10.1037/0022-3514.61.5.766	1939-1315
10.1037/0022-3514.61.5.841	1939-1315
10.1037/0022-3514.61.6.923	1939-1315
10.1037/0022-3514.61.6.957	1939-1315
10.1037/0022-3514.61.6.981	1939-1315
10.1037/0022-3514.62.1.139	0022-3514
10.1037/0022-3514.62.1.26	1939-1315
10.1037/0022-3514.62.2.207	1939-1315
10.1037/0022-3514.62.2.229	1939-1315
10.1037/0022-3514.62.2.340	1939-1315
10.1037/0022-3514.62.3.434	0022-3514
10.1037/0022-3514.62.4.645	1939-1315
10.1037/0022-3514.62.4.669	1939-1315
10.1037/0022-3514.62.5.739	0022-3514
10.1037/0022-3514.62.5.760	0022-3514
10.1037/0022-3514.62.5.787	1939-1315
10.1037/0022-3514.62.5.851	1939-1315
10.1037/0022-3514.62.6.893	1939-1315
10.1037/0022-3514.63.1.146	1939-1315
10.1037/0022-3514.63.2.181	0022-3514
10.1037/0022-3514.63.2.221	1939-1315
10.1037/0022-3514.63.2.234	1939-1315
10.1037/0022-3514.63.2.308	1939-1315
10.1037/0022-3514.63.3.341	0022-3514
10.1037/0022-3514.63.3.403	1939-1315
10.1037/0022-3514.63.3.460	1939-1315
10.1037/0022-3514.63.4.534	1939-1315
10.1037/0022-3514.63.4.568	0022-3514
10.1037/0022-3514.63.4.596	0022-3514
10.1037/0022-3514.63.5.781	1939-1315
10.1037/0022-3514.63.5.816	0022-3514
10.1037/0022-3514.63.5.832	1939-1315
10.1037/0022-3514.63.6.1004	1939-1315
10.1037/0022-3514.63.6.932	1939-1315
10.1037/0022-3514.63.6.962	1939-1315
10.1037/0022-3514.64.1.113	1939-1315
10.1037/0022-3514.64.1.131	1939-1315
10.1037/0022-3514.64.1.141	1939-1315
10.1037/0022-3514.64.1.21	1939-1315
10.1037/0022-3514.64.2.243	1939-1315
10.1037/0022-3514.64.2.274	1939-1315
10.1037/0022-3514.64.3.317	0022-3514
10.1037/0022-3514.64.3.431	0022-3514
10.1037/0022-3514.64.4.561	1939-1315
10.1037/0022-3514.64.4.636	1939-1315
10.1037/0022-3514.64.4.678	0022-3514
10.1037/0022-3514.64.5.708	1939-1315
10.1037/0022-3514.64.5.723	1939-1315
10.1037/0022-3514.64.5.740	1939-1315
10.1037/0022-3514.64.5.817	1939-1315
10.1037/0022-3514.64.5.847	1939-1315
10.1037/0022-3514.64.6.1072	1939-1315
10.1037/0022-3514.64.6.906	1939-1315
10.1037/0022-3514.64.6.951	0022-3514
10.1037/0022-3514.64.6.987	1939-1315
10.1037/0022-3514.65.1.102	1939-1315
10.1037/0022-3514.65.1.132	1939-1315
10.1037/0022-3514.65.1.45	1939-1315
10.1037/0022-3514.65.2.272	1939-1315
10.1037/0022-3514.65.2.293	1939-1315
10.1037/0022-3514.65.2.317	1939-1315
10.1037/0022-3514.65.2.350	1939-1315
10.1037/0022-3514.65.2.410	1939-1315
10.1037/0022-3514.65.3.448	1939-1315
10.1037/0022-3514.65.3.458	1939-1315
10.1037/0022-3514.65.3.563	1939-1315
10.1037/0022-3514.65.4.629	0022-3514
10.1037/0022-3514.65.4.681	0022-3514
10.1037/0022-3514.65.4.707	0022-3514
10.1037/0022-3514.65.5.1023	1939-1315
10.1037/0022-3514.65.5.1061	0022-3514
10.1037/0022-3514.65.5.861	1939-1315
10.1037/0022-3514.65.5.993	0022-3514
10.1037/0022-3514.65.6.1105	1939-1315
10.1037/0022-3514.65.6.1119	0022-3514
10.1037/0022-3514.65.6.1190	1939-1315
10.1037/0022-3514.65.6.1205	0022-3514
10.1037/0022-3514.66.1.115	0022-3514
10.1037/0022-3514.66.1.206	1939-1315
10.1037/0022-3514.66.1.37	0022-3514
10.1037/0022-3514.66.1.56	0022-3514
10.1037/0022-3514.66.1.86	0022-3514
10.1037/0022-3514.66.2.287	0022-3514
10.1037/0022-3514.66.2.350	1939-1315
10.1037/0022-3514.66.2.398	0022-3514
10.1037/0022-3514.66.3.502	1939-1315
10.1037/0022-3514.66.4.646	1939-1315
10.1037/0022-3514.66.4.674	1939-1315
10.1037/0022-3514.66.4.688	0022-3514
10.1037/0022-3514.66.4.776	1939-1315
10.1037/0022-3514.66.5.805	1939-1315
10.1037/0022-3514.66.5.840	0022-3514
10.1037/0022-3514.66.5.870	1939-1315
10.1037/0022-3514.66.6.1081	1939-1315
10.1037/0022-3514.66.6.1094	0022-3514
10.1037/0022-3514.66.6.1128	1939-1315
10.1037/0022-3514.67.1.35	0022-3514
10.1037/0022-3514.67.1.48	0022-3514
10.1037/0022-3514.67.1.92	1939-1315
10.1037/0022-3514.67.2.319	1939-1315
10.1037/0022-3514.67.3.366	0022-3514
10.1037/0022-3514.67.3.382	0022-3514
10.1037/0022-3514.67.3.395	0022-3514
10.1037/0022-3514.67.3.414	1939-1315
10.1037/0022-3514.67.3.499	1939-1315
10.1037/0022-3514.67.4.596	1939-1315
10.1037/0022-3514.67.4.627	1939-1315
10.1037/0022-3514.67.4.653	1939-1315
10.1037/0022-3514.67.4.674	1939-1315
10.1037/0022-3514.67.4.741	1939-1315
10.1037/0022-3514.67.5.836	0022-3514
10.1037/0022-3514.67.5.910	1939-1315
10.1037/0022-3514.67.6.1049	1939-1315
10.1037/0022-3514.67.6.1063	1939-1315
10.1037/0022-3514.67.6.1079	1939-1315
10.1037/0022-3514.67.6.1112	1939-1315
10.1037/0022-3514.67.6.949	1939-1315
10.1037/0022-3514.67.6.998	1939-1315
10.1037/0022-3514.68.1.151	1939-1315
10.1037/0022-3514.68.1.5	1939-1315
10.1037/0022-3514.68.2.181	1939-1315
10.1037/0022-3514.68.2.261	0022-3514
10.1037/0022-3514.68.2.280	0022-3514
10.1037/0022-3514.68.3.404	0022-3514
10.1037/0022-3514.68.3.427	0022-3514
10.1037/0022-3514.68.3.441	0022-3514
10.1037/0022-3514.68.3.505	1939-1315
10.1037/0022-3514.68.3.518	0022-3514
10.1037/0022-3514.68.4.595	1939-1315
10.1037/0022-3514.68.4.644	0022-3514
10.1037/0022-3514.68.4.653	1939-1315
10.1037/0022-3514.68.4.671	1939-1315
10.1037/0022-3514.68.4.687	1939-1315
10.1037/0022-3514.68.4.704	1939-1315
10.1037/0022-3514.68.5.804	0022-3514
10.1037/0022-3514.68.6.1042	0022-3514
10.1037/0022-3514.68.6.1152	1939-1315
10.1037/0022-3514.69.1.120	0022-3514
10.1037/0022-3514.69.1.58	0022-3514
10.1037/0022-3514.69.2.213	1939-1315
10.1037/0022-3514.69.2.280	0022-3514
10.1037/0022-3514.69.3.397	1939-1315
10.1037/0022-3514.69.3.460	1939-1315
10.1037/0022-3514.69.3.482	1939-1315
10.1037/0022-3514.69.4.603	1939-1315
10.1037/0022-3514.69.4.629	1939-1315
10.1037/0022-3514.69.4.642	1939-1315
10.1037/0022-3514.69.4.719	1939-1315
10.1037/0022-3514.69.5.797	1939-1315
10.1037/0022-3514.69.5.851	1939-1315
10.1037/0022-3514.69.5.890	1939-1315
10.1037/0022-3514.69.5.990	1939-1315
10.1037/0022-3514.69.6.1013	1939-1315
10.1037/0022-3514.69.6.1069	1939-1315
10.1037/0022-3514.69.6.1102	1939-1315
10.1037/0022-3514.69.6.1120	1939-1315
10.1037/0022-3514.70.1.28	1939-1315
10.1037/0022-3514.70.1.5	1939-1315
10.1037/0022-3514.70.1.79	1939-1315
10.1037/0022-3514.70.2.205	1939-1315
10.1037/0022-3514.70.2.283	1939-1315
10.1037/0022-3514.70.3.461	1939-1315
10.1037/0022-3514.70.3.476	1939-1315
10.1037/0022-3514.70.3.491	1939-1315
10.1037/0022-3514.70.3.513	1939-1315
10.1037/0022-3514.70.4.820	1939-1315
10.1037/0022-3514.70.4.868	1939-1315
10.1037/0022-3514.70.5.1067	1939-1315
10.1037/0022-3514.70.5.1091	1939-1315
10.1037/0022-3514.70.5.893	1939-1315
10.1037/0022-3514.70.5.913	1939-1315
10.1037/0022-3514.70.5.945	1939-1315
10.1037/0022-3514.70.6.1142	1939-1315
10.1037/0022-3514.70.6.1185	1939-1315
10.1037/0022-3514.70.6.1218	1939-1315
10.1037/0022-3514.70.6.1256	1939-1315
10.1037/0022-3514.70.6.1327	1939-1315
10.1037/0022-3514.71.1.25	1939-1315
10.1037/0022-3514.71.1.54	1939-1315
10.1037/0022-3514.71.1.83	1939-1315
10.1037/0022-3514.71.1.94	1939-1315
10.1037/0022-3514.71.2.230	1939-1315
10.1037/0022-3514.71.2.315	1939-1315
10.1037/0022-3514.71.2.364	1939-1315
10.1037/0022-3514.71.2.375	1939-1315
10.1037/0022-3514.71.2.390	1939-1315
10.1037/0022-3514.71.3.479	1939-1315
10.1037/0022-3514.71.3.498	1939-1315
10.1037/0022-3514.71.3.616	1939-1315
10.1037/0022-3514.71.5.1006	1939-1315
10.1037/0022-3514.71.5.915	1939-1315
10.1037/0022-3514.71.6.1092	1939-1315
10.1037/0022-3514.71.6.1130	1939-1315
10.1037/0022-3514.71.6.1194	1939-1315
10.1037/0022-3514.71.6.1279	1939-1315
10.1037/0022-3514.72.1.105	1939-1315
10.1037/0022-3514.72.1.24	1939-1315
10.1037/0022-3514.72.1.37	1939-1315
10.1037/0022-3514.72.2.262	1939-1315
10.1037/0022-3514.72.2.275	1939-1315
10.1037/0022-3514.72.2.288	1939-1315
10.1037/0022-3514.72.2.320	1939-1315
10.1037/0022-3514.72.2.346	1939-1315
10.1037/0022-3514.72.2.362	1939-1315
10.1037/0022-3514.72.2.449	1939-1315
10.1037/0022-3514.72.2.456	1939-1315
10.1037/0022-3514.72.2.467	1939-1315
10.1037/0022-3514.72.3.544	1939-1315
10.1037/0022-3514.72.3.558	1939-1315
10.1037/0022-3514.72.3.581	1939-1315
10.1037/0022-3514.72.3.592	1939-1315
10.1037/0022-3514.72.3.627	1939-1315
10.1037/0022-3514.72.3.641	1939-1315
10.1037/0022-3514.72.4.763	1939-1315
10.1037/0022-3514.72.4.918	1939-1315
10.1037/0022-3514.72.5.1132	1939-1315
10.1037/0022-3514.72.5.980	1939-1315
10.1037/0022-3514.72.6.1245	1939-1315
10.1037/0022-3514.72.6.1284	1939-1315
10.1037/0022-3514.72.6.1335	1939-1315
10.1037/0022-3514.72.6.1396	1939-1315
10.1037/0022-3514.72.6.1460	1939-1315
10.1037/0022-3514.73.1.186	1939-1315
10.1037/0022-3514.73.1.19	1939-1315
10.1037/0022-3514.73.1.73	1939-1315
10.1037/0022-3514.73.1.91	1939-1315
10.1037/0022-3514.73.2.345	1939-1315
10.1037/0022-3514.73.2.369	1939-1315
10.1037/0022-3514.73.3.437	0022-3514
10.1037/0022-3514.73.3.495	0022-3514
10.1037/0022-3514.73.3.610	0022-3514
10.1037/0022-3514.73.4.687	1939-1315
10.1037/0022-3514.73.4.719	1939-1315
10.1037/0022-3514.73.4.733	1939-1315
10.1037/0022-3514.73.4.781	1939-1315
10.1037/0022-3514.73.5.1038	1939-1315
10.1037/0022-3514.73.6.1224	0022-3514
10.1037/0022-3514.73.6.1345	1939-1315
10.1037/0022-3514.73.6.1409	1939-1315
10.1037/0022-3514.74.1.118	1939-1315
10.1037/0022-3514.74.1.192	1939-1315
10.1037/0022-3514.74.1.224	1939-1315
10.1037/0022-3514.74.1.53	1939-1315
10.1037/0022-3514.74.1.63	1939-1315
10.1037/0022-3514.74.2.378	0022-3514
10.1037/0022-3514.74.2.407	0022-3514
10.1037/0022-3514.74.2.482	0022-3514
10.1037/0022-3514.74.2.494	1939-1315
10.1037/0022-3514.74.3.565	1939-1315
10.1037/0022-3514.74.3.606	1939-1315
10.1037/0022-3514.74.3.629	1939-1315
10.1037/0022-3514.74.3.659	0022-3514
10.1037/0022-3514.74.3.686	1939-1315
10.1037/0022-3514.74.3.774	1939-1315
10.1037/0022-3514.74.4.1024	1939-1315
10.1037/0022-3514.74.4.1056	1939-1315
10.1037/0022-3514.74.4.865	1939-1315
10.1037/0022-3514.74.4.967	0022-3514
10.1037/0022-3514.74.5.1197	1939-1315
10.1037/0022-3514.74.5.1238	1939-1315
10.1037/0022-3514.74.5.1252	1939-1315
10.1037/0022-3514.74.5.1317	0022-3514
10.1037/0022-3514.74.5.1337	1939-1315
10.1037/0022-3514.74.5.1380	1939-1315
10.1037/0022-3514.74.6.1421	1939-1315
10.1037/0022-3514.74.6.1464	1939-1315
10.1037/0022-3514.74.6.1516	1939-1315
10.1037/0022-3514.74.6.1556	1939-1315
10.1037/0022-3514.74.6.1566	1939-1315
10.1037/0022-3514.74.6.1619	1939-1315
10.1037/0022-3514.74.6.1646	1939-1315
10.1037/0022-3514.75.1.141	1939-1315
10.1037/0022-3514.75.1.219	1939-1315
10.1037/0022-3514.75.1.33	1939-1315
10.1037/0022-3514.75.1.5	0022-3514
10.1037/0022-3514.75.1.53	0022-3514
10.1037/0022-3514.75.2.318	1939-1315
10.1037/0022-3514.75.2.332	1939-1315
10.1037/0022-3514.75.2.408	1939-1315
10.1037/0022-3514.75.2.545	1939-1315
10.1037/0022-3514.75.2.561	1939-1315
10.1037/0022-3514.75.3.589	1939-1315
10.1037/0022-3514.75.3.617	1939-1315
10.1037/0022-3514.75.3.653	0022-3514
10.1037/0022-3514.75.3.681	0022-3514
10.1037/0022-3514.75.4.862	0022-3514
10.1037/0022-3514.75.4.887	1939-1315
10.1037/0022-3514.75.4.901	1939-1315
10.1037/0022-3514.75.4.953	1939-1315
10.1037/0022-3514.75.4.976	0022-3514
10.1037/0022-3514.75.5.1282	1939-1315
10.1037/0022-3514.75.5.1333	1939-1315
10.1037/0022-3514.75.6.1481	0022-3514
10.1037/0022-3514.76.2.284	1939-1315
10.1037/0022-3514.76.3.367	1939-1315
10.1037/0022-3514.76.3.482	1939-1315
10.1037/0022-3514.76.4.533	0022-3514
10.1037/0022-3514.76.4.574	1939-1315
10.1037/0022-3514.76.4.587	0022-3514
10.1037/0022-3514.76.4.613	1939-1315
10.1037/0022-3514.76.4.645	1939-1315
10.1037/0022-3514.76.4.677	1939-1315
10.1037/0022-3514.76.5.743	0022-3514
10.1037/0022-3514.76.5.754	0022-3514
10.1037/0022-3514.76.5.770	0022-3514
10.1037/0022-3514.76.5.783	1939-1315
10.1037/0022-3514.76.5.805	1939-1315
10.1037/0022-3514.76.5.839	0022-3514
10.1037/0022-3514.76.6.893	1939-1315
10.1037/0022-3514.76.6.928	0022-3514
10.1037/0022-3514.76.6.972	1939-1315
10.1037/0022-3514.77.1.111	0022-3514
10.1037/0022-3514.77.2.221	1939-1315
10.1037/0022-3514.77.2.293	1939-1315
10.1037/0022-3514.77.3.437	1939-1315
10.1037/0022-3514.77.3.525	1939-1315
10.1037/0022-3514.77.3.538	1939-1315
10.1037/0022-3514.77.3.588	1939-1315
10.1037/0022-3514.77.3.642	1939-1315
10.1037/0022-3514.77.4.698	1939-1315
10.1037/0022-3514.77.4.746	1939-1315
10.1037/0022-3514.77.5.1004	1939-1315
10.1037/0022-3514.77.5.1011	1939-1315
10.1037/0022-3514.77.5.885	1939-1315
10.1037/0022-3514.77.5.967	0022-3514
10.1037/0022-3514.77.6.1109	1939-1315
10.1037/0022-3514.77.6.1121	1939-1315
10.1037/0022-3514.77.6.1213	0022-3514
10.1037/0022-3514.77.6.1254	0022-3514
10.1037/0022-3514.77.6.1313	0022-3514
10.1037/0022-3514.78.1.122	1939-1315
10.1037/0022-3514.78.1.158	1939-1315
10.1037/0022-3514.78.1.173	1939-1315
10.1037/0022-3514.78.1.64	1939-1315
10.1037/0022-3514.78.1.81	1939-1315
10.1037/0022-3514.78.2.211	1939-1315
10.1037/0022-3514.78.2.273	1939-1315
10.1037/0022-3514.78.2.310	1939-1315
10.1037/0022-3514.78.3.397	1939-1315
10.1037/0022-3514.78.3.524	1939-1315
10.1037/0022-3514.78.3.537	1939-1315
10.1037/0022-3514.78.4.635	1939-1315
10.1037/0022-3514.78.4.670	1939-1315
10.1037/0022-3514.78.4.708	1939-1315
10.1037/0022-3514.78.4.737	1939-1315
10.1037/0022-3514.78.4.772	1939-1315
10.1037/0022-3514.78.5.821	1939-1315
10.1037/0022-3514.78.5.853	1939-1315
10.1037/0022-3514.78.5.871	1939-1315
10.1037/0022-3514.78.5.889	1939-1315
10.1037/0022-3514.78.5.943	1939-1315
10.1037/0022-3514.78.6.1024	1939-1315
10.1037/0022-3514.78.6.1053	1939-1315
10.1037/0022-3514.78.6.1082	1939-1315
10.1037/0022-3514.78.6.1109	1939-1315
10.1037/0022-3514.78.6.1135	1939-1315
10.1037/0022-3514.78.6.1150	1939-1315
10.1037/0022-3514.79.1.5	1939-1315
10.1037/0022-3514.79.2.260	1939-1315
10.1037/0022-3514.79.2.286	1939-1315
10.1037/0022-3514.79.3.367	1939-1315
10.1037/0022-3514.79.3.410	1939-1315
10.1037/0022-3514.79.4.521	1939-1315
10.1037/0022-3514.79.4.580	1939-1315
10.1037/0022-3514.79.4.602	1939-1315
10.1037/0022-3514.79.4.631	1939-1315
10.1037/0022-3514.79.4.656	1939-1315
10.1037/0022-3514.79.5.690	1939-1315
10.1037/0022-3514.79.5.701	1939-1315
10.1037/0022-3514.79.5.722	1939-1315
10.1037/0022-3514.79.5.748	1939-1315
10.1037/0022-3514.79.5.763	1939-1315
10.1037/0022-3514.79.5.776	1939-1315
10.1037/0022-3514.79.6.1022	1939-1315
10.1037/0022-3514.79.6.876	1939-1315
10.1037/0022-3514.79.6.906	1939-1315
10.1037/0022-3514.79.6.923	1939-1315
10.1037/0022-3514.79.6.941	1939-1315
10.1037/0022-3514.79.6.953	1939-1315
10.1037/0022-3514.79.6.995	1939-1315
10.1037/0022-3514.80.1.112	1939-1315
10.1037/0022-3514.80.1.53	1939-1315
10.1037/0022-3514.80.1.86	1939-1315
10.1037/0022-3514.80.2.188	1939-1315
10.1037/0022-3514.80.2.325	1939-1315
10.1037/0022-3514.80.2.340	1939-1315
10.1037/0022-3514.80.3.472	1939-1315
10.1037/0022-3514.80.3.501	1939-1315
10.1037/0022-3514.80.4.557	1939-1315
10.1037/0022-3514.80.4.572	1939-1315
10.1037/0022-3514.80.4.669	1939-1315
10.1037/0022-3514.80.5.736	1939-1315
10.1037/0022-3514.80.5.766	1939-1315
10.1037/0022-3514.80.5.804	1939-1315
10.1037/0022-3514.80.5.814	1939-1315
10.1037/0022-3514.80.6.1011	1939-1315
10.1037/0022-3514.80.6.894	1939-1315
10.1037/0022-3514.80.6.918	1939-1315
10.1037/0022-3514.80.6.942	1939-1315
10.1037/0022-3514.80.6.972	1939-1315
10.1037/0022-3514.81.1.146	1939-1315
10.1037/0022-3514.81.1.33	1939-1315
10.1037/0022-3514.81.1.33">{{cite	null
10.1037/0022-3514.81.2.181	1939-1315
10.1037/0022-3514.81.2.234	1939-1315
10.1037/0022-3514.81.2.322	1939-1315
10.1037/0022-3514.81.2.343	1939-1315
10.1037/0022-3514.81.3.436	1939-1315
10.1037/0022-3514.81.3.524	1939-1315
10.1037/0022-3514.81.4.599	1939-1315
10.1037/0022-3514.81.4.639	1939-1315
10.1037/0022-3514.81.4.670	1939-1315
10.1037/0022-3514.81.4.742	1939-1315
10.1037/0022-3514.81.5.757	1939-1315
10.1037/0022-3514.81.5.774	1939-1315
10.1037/0022-3514.81.5.800	1939-1315
10.1037/0022-3514.81.5.828	1939-1315
10.1037/0022-3514.81.5.856	1939-1315
10.1037/0022-3514.81.5.869	1939-1315
10.1037/0022-3514.81.5.922	1939-1315
10.1037/0022-3514.81.5.935	1939-1315
10.1037/0022-3514.81.6.1014	1939-1315
10.1037/0022-3514.81.6.1080	1939-1315
10.1037/0022-3514.81.6.1103	1939-1315
10.1037/0022-3514.81.6.1205	1939-1315
10.1037/0022-3514.81.6.973	1939-1315
10.1037/0022-3514.81.6.989	1939-1315
10.1037/0022-3514.82.1.33	1939-1315
10.1037/0022-3514.82.1.49	1939-1315
10.1037/0022-3514.82.1.62	1939-1315
10.1037/0022-3514.82.1.89	1939-1315
10.1037/0022-3514.82.2.157	1939-1315
10.1037/0022-3514.82.2.167	1939-1315
10.1037/0022-3514.82.2.252	1939-1315
10.1037/0022-3514.82.3.379	1939-1315
10.1037/0022-3514.82.3.419	1939-1315
10.1037/0022-3514.82.4.469	1939-1315
10.1037/0022-3514.82.5.722	1939-1315
10.1037/0022-3514.82.5.756	1939-1315
10.1037/0022-3514.82.5.792	1939-1315
10.1037/0022-3514.82.6.878	1939-1315
10.1037/0022-3514.82.6.903	1939-1315
10.1037/0022-3514.82.6.947	1939-1315
10.1037/0022-3514.83.1.198	1939-1315
10.1037/0022-3514.83.1.245	1939-1315
10.1037/0022-3514.83.1.44	1939-1315
10.1037/0022-3514.83.1.60	1939-1315
10.1037/0022-3514.83.2.300	1939-1315
10.1037/0022-3514.83.3.592	1939-1315
10.1037/0022-3514.83.3.606	1939-1315
10.1037/0022-3514.83.3.638	1939-1315
10.1037/0022-3514.83.3.693	1939-1315
10.1037/0022-3514.83.4.843	1939-1315
10.1037/0022-3514.83.4.947	1939-1315
10.1037/0022-3514.83.5.1103	1939-1315
10.1037/0022-3514.83.5.1178	1939-1315
10.1037/0022-3514.83.5.1198	1939-1315
10.1037/0022-3514.83.5.1239	1939-1315
10.1037/0022-3514.83.6.1314	1939-1315
10.1037/0022-3514.83.6.1409	1939-1315
10.1037/0022-3514.83.6.1423	1939-1315
10.1037/0022-3514.83.6.1441	1939-1315
10.1037/0022-3514.83.6.1456	1939-1315
10.1037/0022-3514.84.1.111	1939-1315
10.1037/0022-3514.84.1.148	1939-1315
10.1037/0022-3514.84.1.165	1939-1315
10.1037/0022-3514.84.1.18	1939-1315
10.1037/0022-3514.84.1.234	1939-1315
10.1037/0022-3514.84.1.5	1939-1315
10.1037/0022-3514.84.1.60	1939-1315
10.1037/0022-3514.84.1.97	1939-1315
10.1037/0022-3514.84.2.352	1939-1315
10.1037/0022-3514.84.2.365	1939-1315
10.1037/0022-3514.84.2.377	1939-1315
10.1037/0022-3514.84.3.453	1939-1315
10.1037/0022-3514.84.3.527	1939-1315
10.1037/0022-3514.84.3.558	1939-1315
10.1037/0022-3514.84.3.608	1939-1315
10.1037/0022-3514.84.3.644	1939-1315
10.1037/0022-3514.84.4.822	1939-1315
10.1037/0022-3514.84.5.1027	1939-1315
10.1037/0022-3514.84.5.1041	1939-1315
10.1037/0022-3514.84.5.1079	1939-1315
10.1037/0022-3514.84.5.1093	1939-1315
10.1037/0022-3514.84.5.932	1939-1315
10.1037/0022-3514.84.5.972	1939-1315
10.1037/0022-3514.84.5.997	1939-1315
10.1037/0022-3514.84.6.1140	1939-1315
10.1037/0022-3514.84.6.1220	1939-1315
10.1037/0022-3514.84.6.1236	1939-1315
10.1037/0022-3514.85.1.163	1939-1315
10.1037/0022-3514.85.1.33	1939-1315
10.1037/0022-3514.85.1.5	1939-1315
10.1037/0022-3514.85.1.85	1939-1315
10.1037/0022-3514.85.2.197	1939-1315
10.1037/0022-3514.85.2.276	1939-1315
10.1037/0022-3514.85.2.348	1939-1315
10.1037/0022-3514.85.3.389	1939-1315
10.1037/0022-3514.85.3.440	1939-1315
10.1037/0022-3514.85.3.499	1939-1315
10.1037/0022-3514.85.3.541	1939-1315
10.1037/0022-3514.85.3.566	1939-1315
10.1037/0022-3514.85.4.709	1939-1315
10.1037/0022-3514.85.5.823	1939-1315
10.1037/0022-3514.85.5.881	1939-1315
10.1037/0022-3514.85.5.909	1939-1315
10.1037/0022-3514.85.5.969	1939-1315
10.1037/0022-3514.85.6.1016	1939-1315
10.1037/0022-3514.85.6.1035	1939-1315
10.1037/0022-3514.85.6.1180	1939-1315
10.1037/0022-3514.85.6.1193	1939-1315
10.1037/0022-3514.86.1.112	1939-1315
10.1037/0022-3514.86.1.130	1939-1315
10.1037/0022-3514.86.1.148	1939-1315
10.1037/0022-3514.86.1.162	1939-1315
10.1037/0022-3514.86.1.174	1939-1315
10.1037/0022-3514.86.1.43	1939-1315
10.1037/0022-3514.86.1.57	1939-1315
10.1037/0022-3514.86.1.96	1939-1315
10.1037/0022-3514.86.2.236	1939-1315
10.1037/0022-3514.86.2.320	1939-1315
10.1037/0022-3514.86.2.345	1939-1315
10.1037/0022-3514.86.2.356	1939-1315
10.1037/0022-3514.86.3.473	1939-1315
10.1037/0022-3514.86.4.517	1939-1315
10.1037/0022-3514.86.4.530	1939-1315
10.1037/0022-3514.86.5.653	1939-1315
10.1037/0022-3514.86.5.680	1939-1315
10.1037/0022-3514.86.5.696	1939-1315
10.1037/0022-3514.86.5.713	1939-1315
10.1037/0022-3514.87.1.123	1939-1315
10.1037/0022-3514.87.1.23	1939-1315
10.1037/0022-3514.87.1.57	1939-1315
10.1037/0022-3514.87.2.157	1939-1315
10.1037/0022-3514.87.2.228	1939-1315
10.1037/0022-3514.87.3.327	1939-1315
10.1037/0022-3514.87.3.354	1939-1315
10.1037/0022-3514.87.3.363	1939-1315
10.1037/0022-3514.87.3.400	1939-1315
10.1037/0022-3514.87.4.494	1939-1315
10.1037/0022-3514.87.5.586	1939-1315
10.1037/0022-3514.87.5.631	1939-1315
10.1037/0022-3514.87.5.665	1939-1315
10.1037/0022-3514.87.5.707	1939-1315
10.1037/0022-3514.87.6.796	1939-1315
10.1037/0022-3514.87.6.876	1939-1315
10.1037/0022-3514.88.1.139	1939-1315
10.1037/0022-3514.88.1.158	1939-1315
