10.4137/BECB.S34255	1179-5972
10.4161/rna.5.3.6558	1547-6286
10.4161/rna.6.1.7574	1547-6286
10.4161/rna.6.1.7634	1547-6286
10.4161/rna.6.2.8046	1547-6286
10.4161/rna.6.2.8115	1547-6286
10.4161/rna.6.3.8332	1547-6286
10.4161/rna.6.3.8371	1547-6286
10.4161/rna.6.3.8723	1547-6286
10.4161/rna.6.3.8921	1547-6286
10.4161/rna.6.4.8949	1547-6286
10.4161/rna.6.4.9014	1547-6286
10.4161/rna.6.4.9172	1547-6286
10.4161/rna.6.4.9268	1547-6286
10.4161/rna.6.4.9270	1547-6286
10.4161/rna.6.4.9334	1547-6286
10.4161/rna.6.5.9607	1547-6286
10.4161/rna.6.5.9753	1547-6286
10.4161/rna.6915	1547-6286
10.4161/rna.7.1.10501	1547-6286
10.4161/rna.7.2.10925	1547-6286
10.4161/rna.7.2.11184	1547-6286
10.4161/rna.7.2.11287	1547-6286
10.4161/rna.7.2.11468	1547-6286
10.4161/rna.7.3.11837	1547-6286
10.4161/rna.7.3.12089	1547-6286
10.4161/rna.7.5.12685	1547-6286
10.4161/rna.7.5.12745	1547-6286
10.4161/rna.7.5.13216	1547-6286
10.4161/rna.7.6.14117	1547-6286
10.4161/rna.7.6.14249	1547-6286
10.4161/rna.8.1.13864	1547-6286
10.4161/rna.8.1.13865	1547-6286
10.4161/rna.8.3.14421	1547-6286
10.4161/rna.8.4.15393	1547-6286
10.4161/rna.8.4.15396	1547-6286
10.4161/rna.8.5.16015	1547-6286
10.4161/rna.8.5.16226	1547-6286
10.4161/rna.8.6.16690	1547-6286
10.4161/self.1.4.13904	1938-2030
10.4161/sgtp.19380	2154-1248
10.4161/sgtp.2.3.16486	2154-1248
10.4161/sgtp.2.5.17740	2154-1248
10.4161/sgtp.25131	2154-1248
10.4161/spmg.1.1.14525	2156-5562
10.4161/spmg.1.1.14659	2156-5562
10.4161/temp.29702	2332-8940
10.4161/tisb.23119	2168-8370
10.4161/tisb.26845	2168-8370
10.4161/tisb.27321	2168-8370
10.4161/tisb.28127	2168-8370
10.4161/trla.24315	2169-0731
10.4161/trla.27738	2169-0731
10.4161/trns.1.3.12900	2154-1264
10.4161/trns.19468	2154-1264
10.4161/trns.19749	2154-1264
10.4161/trns.2.1.14275	2154-1264
10.4161/trns.2.3.15637	2154-1264
10.4161/trns.2.3.16298	2154-1264
10.4161/trns.2.6.18076	2154-1264
10.4161/trns.22542	2154-1264
10.4161/trns.24885	2154-1264
10.4161/viru.1.1.9235	2150-5594
10.4161/viru.1.1.9933	2150-5594
10.4161/viru.1.5.12796	2150-5594
10.4161/viru.18685	2150-5594
10.4161/viru.19013	2150-5594
10.4161/viru.19178	2150-5594
10.4161/viru.2.5.17724	2150-5594
10.4161/viru.20573	2150-5594
10.4161/viru.22330	2150-5594
10.4161/viru.24041	2150-5594
10.4161/viru.24498	2150-5594
10.4161/viru.24606	2150-5594
10.4161/viru.24838	2150-5594
10.4161/viru.25965	2150-5594
10.4161/viru.26187	2150-5594
10.4161/viru.26515	2150-5594
10.4161/viru.27024	2150-5594
10.4161/viru.27047	2150-5594
10.4161/viru.27372	2150-5594
10.4161/viru.29091	2150-5594
10.4161/worm.19040	2162-4054
10.4162/nrp.2007.1.1.29	1976-1457
10.4162/nrp.2007.1.2.100	1976-1457
10.4162/nrp.2009.3.2.84	1976-1457
10.4162/nrp.2010.4.2.136	1976-1457
10.4162/nrp.2010.4.2.136&code=0161NRP&vmode=FULL	null
10.4162/nrp.2010.4.3.229	1976-1457
10.4162/nrp.2011.5.4.281	1976-1457
10.4162/nrp.2012.6.6.520	1976-1457
10.4162/nrp.2013.7.5.347	1976-1457
10.4162/nrp.2013.7.6.446	1976-1457
10.4162/nrp.2014.8.5.550	1976-1457
10.4162/nrp.2016.10.2.188	1976-1457
10.4162/nrp.2016.10.5.507	1976-1457
10.4166/kjg.2010.55.2.139	1598-9992
10.4166/kjg.2011.58.4.190	1598-9992
10.4167/jbv.2007.37.2.61	1598-2467
10.4167/jbv.2013.43.3.195	1598-2467
10.4168/aair.2011.3.2.81	2092-7355
10.4168/aair.2012.4.2.68	2092-7355
10.4168/aair.2012.4.4.178	2092-7355
10.4168/aair.2013.5.3.129	2092-7355
10.4168/aair.2014.6.2.156	2092-7355
10.4168/aair.2014.6.4.288	2092-7355
10.4168/aair.2015.7.4.312	2092-7355
10.4168/aair.2015.7.6.534	2092-7355
10.4168/aair.2016.8.5.428	2092-7355
10.4169/000298909x474855	0002-9890
10.4169/000298909x477014	0002-9890
10.4169/000298910X474989	0002-9890
10.4169/000298910X480054	0002-9890
10.4169/000298910x476068	0002-9890
10.4169/000298910x480784	0002-9890
10.4169/000298910x480838	0002-9890
10.4169/000298910x485923	0002-9890
10.4169/000298910x486012	0002-9890
10.4169/000298910x521661	0002-9890
10.4169/002557010X482916	0025-570X
10.4169/002557010X494841	0025-570X
10.4169/002557010X521831	0025-570X
10.4169/002557010X529752	0025-570X
10.4169/002557010x479965	0025-570X
10.4169/074683409X475643	0746-8342
10.4169/074683410X475083	0746-8342
10.4169/074683410X488683	0746-8342
10.4169/074683410x488755	0746-8342
10.4169/074683410x510272	0746-8342
10.4169/193009709X458555	0002-9890
10.4169/193009709X458654	0002-9890
10.4169/193009709X460859	0002-9890
10.4169/193009709X470128	0002-9890
10.4169/193009709X470218	0002-9890
10.4169/193009709X470362	0002-9890
10.4169/193009709X470407	0002-9890
10.4169/193009709x458573	0002-9890
10.4169/193009709x458609	0002-9890
10.4169/193009709x469797	0002-9890
10.4169/193009709x470065	0002-9890
10.4169/193009709x470236	0002-9890
10.4169/193009709x470317	0002-9890
10.4169/193009809x468760	0025-570X
10.4169/193009809x469020	0025-570X
10.4169/193009809x469084	0025-570X
10.4169/193113409X469532	0746-8342
10.4169/193113409x469721	0746-8342
10.4169/amer.math.monthly.118.01.003	0002-9890
10.4169/amer.math.monthly.118.02.116	0002-9890
10.4169/amer.math.monthly.118.03.198	0002-9890
10.4169/amer.math.monthly.118.03.245	0002-9890
10.4169/amer.math.monthly.118.03.264	0002-9890
10.4169/amer.math.monthly.118.04.291	0002-9890
10.4169/amer.math.monthly.118.04.307	0002-9890
10.4169/amer.math.monthly.118.05.404	0002-9890
10.4169/amer.math.monthly.118.05.450	0002-9890
10.4169/amer.math.monthly.118.06.544	0002-9890
10.4169/amer.math.monthly.118.06.549	0002-9890
10.4169/amer.math.monthly.118.10.887	0002-9890
10.4169/amer.math.monthly.119.02.115	0002-9890
10.4169/amer.math.monthly.119.06.495	0002-9890
10.4169/amer.math.monthly.119.06.530	0002-9890
10.4169/amer.math.monthly.119.07.550	0002-9890
10.4169/amer.math.monthly.119.07.616	0002-9890
10.4169/amer.math.monthly.119.09.753	0002-9890
10.4169/amer.math.monthly.120.01.035	0002-9890
10.4169/amer.math.monthly.120.03.265	0002-9890
10.4169/amer.math.monthly.120.05.441	0002-9890
10.4169/amer.math.monthly.120.05.469	0002-9890
10.4169/amer.math.monthly.120.07.609	0002-9890
10.4169/amer.math.monthly.120.07.631	0002-9890
10.4169/amer.math.monthly.120.09.787	0002-9890
10.4169/amer.math.monthly.120.10.929	0002-9890
10.4169/amer.math.monthly.121.01.018	0002-9890
10.4169/amer.math.monthly.121.03.187	0002-9890
10.4169/amer.math.monthly.121.04.299	0002-9890
10.4169/amer.math.monthly.121.05.433	0002-9890
10.4169/amer.math.monthly.121.05.438	0002-9890
10.4169/amer.math.monthly.121.07.563	0002-9890
10.4169/amer.math.monthly.121.10.963	0002-9890
10.4169/amer.math.monthly.122.5.433	0002-9890
10.4169/amer.math.monthly.122.5.433.pdf	null
10.4169/amer.math.monthly.122.5.444	0002-9890
10.4169/amer.math.monthly.122.7.619	0002-9890
10.4169/amer.math.monthly.123.7.701	0002-9890
10.4169/amer.math.monthly.123.8.753	0002-9890
10.4169/amer.math.monthly.124.3.195	0002-9890
10.4169/amer.math.monthly.124.3.232	0002-9890
10.4169/amer.math.monthly.124.8.741	0002-9890
10.4169/amer.math.monthly.124.9.772	0002-9890
10.4169/college.math.j.42.2.163.pdf	null
10.4169/college.math.j.43.1.043	0746-8342
10.4169/college.math.j.43.1.082	0746-8342
10.4169/college.math.j.43.4.309	0746-8342
10.4169/college.math.j.45.4.254	0746-8342
10.4169/college.math.j.46.2.149	0746-8342
10.4169/j.ctt5hh8zn	null
10.4169/loci003163	null
10.4169/loci003211	null
10.4169/loci003292	null
10.4169/loci003801	null
10.4169/loci003889	null
10.4169/math.mag.84.4.283	0025-570X
10.4169/math.mag.84.5.369	0025-570X
10.4169/math.mag.85.1.26	0025-570X
10.4169/math.mag.85.1.51	0025-570X
10.4169/math.mag.85.1.52	0025-570X
10.4169/math.mag.85.3.177	0025-570X
10.4169/math.mag.85.4.252	0025-570X
10.4169/math.mag.85.5.323	0025-570X
10.4169/math.mag.85.5.374.pdf	null
10.4169/math.mag.86.4.239	0025-570X
10.4169/math.mag.87.5.381	0025-570X
10.4169/math.mag.88.3.196	0025-570X
10.4169/math.mag.88.4.247	0025-570X
10.4169/mathhorizons.19.4.34	1072-4117
10.4171/000	null
10.4171/009-1/21	null
10.4171/011	null
10.4171/022-1/14	null
10.4171/022-1/18	null
10.4171/022-1/22	null
10.4171/022-3/47	null
10.4171/029	null
10.4171/038	null
10.4171/055	null
10.4171/055-1/2	null
10.4171/083	null
10.4171/103	null
10.4171/105	null
10.4171/114	null
10.4171/117	null
10.4171/130	null
10.4171/145	null
10.4171/CMH/198	0010-2571
10.4171/CMH/234	0010-2571
10.4171/EM/103	0013-6018
10.4171/EM/120	0013-6018
10.4171/EM/239	0013-6018
10.4171/EM/310	0013-6018
10.4171/EM/33	0013-6018
10.4171/EMSS/6	2308-2151
10.4171/EMSS3	null
10.4171/GGD/347	1661-7207
10.4171/IFB/15	1463-9963
10.4171/JCA/1-1-1	2415-6302
10.4171/JEMS/132	1435-9855
10.4171/JEMS/478	1435-9855
10.4171/JEMS/99	1435-9855
10.4171/NEWS	1027-488X
10.4171/OWR/2011/51	1660-8933
10.4171/QT/26	1663-487X
10.4171/RLM/572	1120-6330
10.4171/RLM/661	1120-6330
10.4171/RMI/240	0213-2230
10.4171/RMI/337	0213-2230
10.4171/RSMUP/129-2	0041-8994
10.4171/RSMUP/135-13	0041-8994
10.4171/RSMUP/137-10	0041-8994
10.4171/ZAA/747	0232-2064
10.4171/em/310	0013-6018
10.4171/jems/132	1435-9855
10.4171/jncg/93	1661-6952
10.4171/lem/55-1-8	0013-8584
10.4171/lem/55-3-1	0013-8584
10.4171/lem/55-3-3	0013-8584
10.4171/qt/26	1663-487X
10.4171/qt/5	1663-487X
10.4171/rmi/188	0213-2230
10.4171/rmi/525	0213-2230
10.4172/1662-100X.1000101	null
10.4172/1948-5948.1000310	1948-5948
10.4172/2155-9597.1000173	2155-9597
10.4172/2325-9809.1000152</nowiki>>	null
10.4172/2376-0389.1000e105	2376-0389
10.4174/astr.2014.87.5.239	2288-6575
10.4174/astr.2016.90.5.292	2288-6575
10.4174/jkss.2012.83.3.171	2233-7903
10.4174/jkss.2013.84.4.225	2233-7903
10.4176/070611	1993-2820
10.4178/epih.e2017009	2092-7193
10.4178/epih/e2015020	2092-7193
10.4179/NLF.203.0000009	1095-7960
10.4179/nlf.203.0000009	1095-7960
10.4179/nlf.213.0000006	1095-7960
10.4183/aeb.2006.465	1841-0987
10.4184/asj.2007.1.1.27	1976-1902
10.4184/asj.2011.5.2.111&code=9998ASJ&vmode=AR	null
10.4184/asj.2011.5.4.267	1976-1902
10.4184/asj.2012.6.1.50&code=9998ASJ&vmode=AFTR	null
10.4184/asj.2014.8.1.84	1976-1902
10.4184/asj.2016.10.4.801	1976-1902
10.4185/RLCS-65-2010-895-222-230-EN	null
10.4187/002013209793800286	0020-1324
10.4187/002013209793800385	0020-1324
10.4187/aarc0427	0020-1324
10.4187/aarc0446	0020-1324
10.4187/respcare.00656	0020-1324
10.4187/respcare.00768	0020-1324
10.4187/respcare.00801	0020-1324
10.4187/respcare.00866	0020-1324
10.4187/respcare.01093	0020-1324
10.4187/respcare.01169	0020-1324
10.4187/respcare.01238	0020-1324
10.4187/respcare.01255	0020-1324
10.4187/respcare.01259	0020-1324
10.4187/respcare.01327	0020-1324
10.4187/respcare.01369	0020-1324
10.4187/respcare.01373	0020-1324
10.4187/respcare.01387	0020-1324
10.4187/respcare.01413	0020-1324
10.4187/respcare.01505	0020-1324
10.4187/respcare.01600	0020-1324
10.4187/respcare.01831	0020-1324
10.4187/respcare.02918	0020-1324
10.4187/respcare.03023	0020-1324
10.4187/respcare.04086	0020-1324
10.4187/respcare.04312	0020-1324
10.4187/respcare.04435	0020-1324
10.4193/Rhino11.152	null
10.4193/Rhino12.111	null
10.4194/1303-2712-v14_3_25	1303-2712
10.4194/1303-2712-v15_2_08	1303-2712
10.4194/1303-2712-v16_2_03	1303-2712
10.4194/1303-2712-v17_2_25	1303-2712
10.4194/1303-2712-v17_5_08	null
10.4195/nse2014.10.0022	1059-9053
10.4195/nse2017.07.0016	1059-9053
10.4196/kjpp.2014.18.1.1	1226-4512
10.4196/kjpp.2016.20.6.629	1226-4512
10.4197/Med	1319-1004
10.4197/sci.4-1.9	1319-1012
10.4199/C00050ED1V01Y201112NPE001	2166-6628
10.4199/C00056ED1V01Y201204NPE002	2166-6628
10.4199/C00060ED1V01Y201206PAC001	2169-9399
10.4199/C00065ED1V01Y201208PAC002	2169-9399
10.4199/C00068ED1V01Y201211PAC004	2169-9399
10.4199/C00116ED1V01Y201408ISP055	2154-560X
10.4199/C00116ED1V01Y201408ISP055)	null
10.4202/app.00001.2013	0567-7920
10.4202/app.00003.2013	0567-7920
10.4202/app.00005.2013	0567-7920
10.4202/app.00011.2013	0567-7920
10.4202/app.00012.2013	0567-7920
10.4202/app.00014.2013	0567-7920
10.4202/app.00015.2013	0567-7920
10.4202/app.00021.2013	0567-7920
10.4202/app.00030.2013	0567-7920
10.4202/app.00037.2013	0567-7920
10.4202/app.00038.2013	0567-7920
10.4202/app.00048.2013	0567-7920
10.4202/app.00049.2013	0567-7920
10.4202/app.00051.2014	0567-7920
10.4202/app.00057.2013	null
10.4202/app.00059.2014	0567-7920
10.4202/app.00061.2014	0567-7920
10.4202/app.00062.2014	0567-7920
10.4202/app.00066.2014	0567-7920
10.4202/app.00073.2014	0567-7920
10.4202/app.00077.2014	0567-7920
10.4202/app.00082.2014	0567-7920
10.4202/app.00083.2014	0567-7920
10.4202/app.00084.2014	0567-7920
10.4202/app.00085.2014	0567-7920
10.4202/app.00091.2014	0567-7920
10.4202/app.00093.2014	0567-7920
10.4202/app.00099.2014	0567-7920
10.4202/app.00102.2014	0567-7920
10.4202/app.00106.2014	0567-7920
10.4202/app.00111.2014	0567-7920
10.4202/app.00115.2014	0567-7920
10.4202/app.00116.2014	0567-7920
10.4202/app.00117.2014	0567-7920
10.4202/app.00129.2014	0567-7920
10.4202/app.00130.2014	0567-7920
10.4202/app.00132.2014	0567-7920
10.4202/app.00134.2014	0567-7920
10.4202/app.00136.2014	0567-7920
10.4202/app.00137.2014	0567-7920
10.4202/app.00140.2014	0567-7920
10.4202/app.00143.2014	0567-7920
10.4202/app.00152.2015	0567-7920
10.4202/app.00158.2015	0567-7920
10.4202/app.00170.2015	0567-7920
10.4202/app.00171.2015	0567-7920
10.4202/app.00198.2015	0567-7920
10.4202/app.00206.2015	0567-7920
10.4202/app.00208.2015	0567-7920
10.4202/app.00209.2015	0567-7920
10.4202/app.00215.2015	0567-7920
10.4202/app.00219.2015	0567-7920
10.4202/app.00220.2015	0567-7920
10.4202/app.00221.2015	0567-7920
10.4202/app.00228.2015	0567-7920
10.4202/app.00238.2015	0567-7920
10.4202/app.00240.2016	0567-7920
10.4202/app.00244.2016	0567-7920
10.4202/app.00246.2016	0567-7920
10.4202/app.00248.2016	0567-7920
10.4202/app.00250.2016	0567-7920
10.4202/app.00252.2016	0567-7920
10.4202/app.00255.2016	0567-7920
10.4202/app.00259.2016	0567-7920
10.4202/app.00265.2016	0567-7920
10.4202/app.00276.2016	0567-7920
10.4202/app.00284.2016	0567-7920
10.4202/app.00287.2016	0567-7920
10.4202/app.00288.2016	0567-7920
10.4202/app.00289.2016	0567-7920
10.4202/app.00292.2016	0567-7920
10.4202/app.00294.2016	0567-7920
10.4202/app.00308.2016	0567-7920
10.4202/app.00309.2016	0567-7920
10.4202/app.00311.2016	0567-7920
10.4202/app.00316.2016	0567-7920
10.4202/app.00320.2016	0567-7920
10.4202/app.00324.2016	0567-7920
10.4202/app.00331.2016	0567-7920
10.4202/app.00334.2016	0567-7920
10.4202/app.00335.2017	null
10.4202/app.00338.2016	0567-7920
10.4202/app.00339.2017	0567-7920
10.4202/app.00340.2017	0567-7920
10.4202/app.00344.2017	0567-7920
10.4202/app.00345.2017	0567-7920
10.4202/app.00346.2017	0567-7920
10.4202/app.00347.2017	0567-7920
10.4202/app.00348.2017	0567-7920
10.4202/app.00351.2017	0567-7920
10.4202/app.00354.2017	0567-7920
10.4202/app.00355.2017	0567-7920
10.4202/app.00361.2017	0567-7920
10.4202/app.00362.2017	0567-7920
10.4202/app.00363.2017	0567-7920
10.4202/app.00367.2017	0567-7920
10.4202/app.00372.2017	0567-7920
10.4202/app.00373.2017	0567-7920
10.4202/app.00374.2017	0567-7920
10.4202/app.00376.2017	0567-7920
10.4202/app.00377.2017	0567-7920
10.4202/app.00378.2017	0567-7920
10.4202/app.00381.2017	0567-7920
10.4202/app.00387.2017	0567-7920
10.4202/app.00388.2017	0567-7920
10.4202/app.00390.2017	0567-7920
10.4202/app.00391.2017	0567-7920
10.4202/app.00396.2017	0567-7920
10.4202/app.00399.2017	0567-7920
10.4202/app.00400.2017	0567-7920
10.4202/app.00403.2017	0567-7920
10.4202/app.00408.2017	0567-7920
10.4202/app.00409.2017	0567-7920
10.4202/app.00413.2017	0567-7920
10.4202/app.00415.2017	0567-7920
10.4202/app.00425.2017	0567-7920
10.4202/app.00426.2017	0567-7920
10.4202/app.00427.2017	0567-7920
10.4202/app.00431.2017	0567-7920
10.4202/app.00434.2017	0567-7920
10.4202/app.00441.2017	0567-7920
10.4202/app.00443.2017	0567-7920
10.4202/app.00446.2017	0567-7920
10.4202/app.00461.2018	0567-7920
10.4202/app.00466.2018	0567-7920
10.4202/app.2006.0026	0567-7920
10.4202/app.2007.0064	0567-7920
10.4202/app.2008.0001	0567-7920
10.4202/app.2008.0007	0567-7920
10.4202/app.2008.0042	0567-7920
10.4202/app.2008.0053	0567-7920
10.4202/app.2008.0055	0567-7920
10.4202/app.2008.0062	0567-7920
10.4202/app.2008.0063	0567-7920
10.4202/app.2008.0065	0567-7920
10.4202/app.2008.0067	0567-7920
10.4202/app.2008.0071	0567-7920
10.4202/app.2008.0077	0567-7920
10.4202/app.2008.0083	0567-7920
10.4202/app.2008.0092	0567-7920
10.4202/app.2008.0102	0567-7920
10.4202/app.2008.0103	0567-7920
10.4202/app.2008.0104	0567-7920
10.4202/app.2008.0106	0567-7920
10.4202/app.2008.0110	0567-7920
10.4202/app.2008.0111	0567-7920
10.4202/app.2008.0112	0567-7920
10.4202/app.2008.0202	0567-7920
10.4202/app.2008.0204	0567-7920
10.4202/app.2008.0209	0567-7920
10.4202/app.2008.0213	0567-7920
10.4202/app.2008.0302	0567-7920
10.4202/app.2008.0305	0567-7920
10.4202/app.2008.0311	0567-7920
10.4202/app.2008.0401	0567-7920
10.4202/app.2008.0402	0567-7920
10.4202/app.2008.0403	0567-7920
10.4202/app.2008.0404	0567-7920
10.4202/app.2008.0405	0567-7920
10.4202/app.2008.0406	0567-7920
10.4202/app.2008.0412	0567-7920
10.4202/app.2008.0414	0567-7920
10.4202/app.2008.0415	0567-7920
10.4202/app.2008.0417	0567-7920
10.4202/app.2009.0001	0567-7920
10.4202/app.2009.0007	0567-7920
10.4202/app.2009.0014	0567-7920
10.4202/app.2009.0017	0567-7920
10.4202/app.2009.0021	0567-7920
10.4202/app.2009.0024	0567-7920
10.4202/app.2009.0026	0567-7920
10.4202/app.2009.0030	0567-7920
10.4202/app.2009.0036	0567-7920
10.4202/app.2009.0047	0567-7920
10.4202/app.2009.0055	0567-7920
10.4202/app.2009.0058	0567-7920
10.4202/app.2009.0065	0567-7920
10.4202/app.2009.0075	0567-7920
10.4202/app.2009.0079	0567-7920
10.4202/app.2009.0083	0567-7920
10.4202/app.2009.0087	0567-7920
10.4202/app.2009.0099	0567-7920
10.4202/app.2009.0100	0567-7920
10.4202/app.2009.0101	0567-7920
10.4202/app.2009.0103	0567-7920
10.4202/app.2009.0111	0567-7920
10.4202/app.2009.0120	0567-7920
10.4202/app.2009.0125	0567-7920
10.4202/app.2009.0127	0567-7920
10.4202/app.2009.0131	0567-7920
10.4202/app.2009.0145	0567-7920
10.4202/app.2009.0147	0567-7920
10.4202/app.2009.0157	0567-7920
10.4202/app.2009.1101	0567-7920
10.4202/app.2009.1104	0567-7920
10.4202/app.2009.1105	0567-7920
10.4202/app.2009.1108	0567-7920
10.4202/app.2009.1111	0567-7920
10.4202/app.2009.1123	0567-7920
10.4202/app.2009.b103	0567-7920
10.4202/app.2010.0003	0567-7920
10.4202/app.2010.0005	0567-7920
10.4202/app.2010.0006	0567-7920
10.4202/app.2010.0007	0567-7920
10.4202/app.2010.0013	0567-7920
10.4202/app.2010.0019	0567-7920
10.4202/app.2010.0023	0567-7920
10.4202/app.2010.0025	0567-7920
10.4202/app.2010.0027	0567-7920
10.4202/app.2010.0036	0567-7920
10.4202/app.2010.0039	0567-7920
10.4202/app.2010.0045	0567-7920
10.4202/app.2010.0047	0567-7920
10.4202/app.2010.0055	0567-7920
10.4202/app.2010.0057	0567-7920
10.4202/app.2010.0061	0567-7920
10.4202/app.2010.0063	0567-7920
10.4202/app.2010.0064	0567-7920
10.4202/app.2010.0067	0567-7920
10.4202/app.2010.0073	0567-7920
10.4202/app.2010.0075	0567-7920
10.4202/app.2010.0081	0567-7920
10.4202/app.2010.0085	0567-7920
10.4202/app.2010.0086	0567-7920
10.4202/app.2010.0087	0567-7920
10.4202/app.2010.0089	0567-7920
10.4202/app.2010.0092	0567-7920
10.4202/app.2010.0093	0567-7920
10.4202/app.2010.0094	0567-7920
10.4202/app.2010.0099	0567-7920
10.4202/app.2010.0101	0567-7920
10.4202/app.2010.0105	0567-7920
10.4202/app.2010.0113	0567-7920
10.4202/app.2010.0115	0567-7920
10.4202/app.2010.0117	0567-7920
10.4202/app.2010.0120	0567-7920
10.4202/app.2010.0121	0567-7920
10.4202/app.2010.0125	0567-7920
10.4202/app.2010.0127	0567-7920
10.4202/app.2011.0002	0567-7920
10.4202/app.2011.0015	0567-7920
10.4202/app.2011.0016	0567-7920
10.4202/app.2011.0017	0567-7920
10.4202/app.2011.0018	0567-7920
10.4202/app.2011.0019	0567-7920
10.4202/app.2011.0023	0567-7920
10.4202/app.2011.0025	0567-7920
10.4202/app.2011.0028	0567-7920
10.4202/app.2011.0031	0567-7920
10.4202/app.2011.0033	0567-7920
10.4202/app.2011.0035	0567-7920
10.4202/app.2011.0037	0567-7920
10.4202/app.2011.0038	0567-7920
10.4202/app.2011.0043	0567-7920
10.4202/app.2011.0049	0567-7920
10.4202/app.2011.0051	0567-7920
10.4202/app.2011.0052	0567-7920
10.4202/app.2011.0054	0567-7920
10.4202/app.2011.0055	0567-7920
10.4202/app.2011.0056	0567-7920
10.4202/app.2011.0061	0567-7920
10.4202/app.2011.0063	0567-7920
10.4202/app.2011.0066	0567-7920
10.4202/app.2011.0067	0567-7920
10.4202/app.2011.0071	0567-7920
10.4202/app.2011.0077	0567-7920
10.4202/app.2011.0079	0567-7920
10.4202/app.2011.0083	0567-7920
10.4202/app.2011.0090	0567-7920
10.4202/app.2011.0092	0567-7920
10.4202/app.2011.0099	0567-7920
10.4202/app.2011.0100	0567-7920
10.4202/app.2011.0101	0567-7920
10.4202/app.2011.0108	0567-7920
10.4202/app.2011.0109	0567-7920
10.4202/app.2011.0113	0567-7920
10.4202/app.2011.0116	0567-7920
10.4202/app.2011.0120	0567-7920
10.4202/app.2011.0121	0567-7920
10.4202/app.2011.0125	0567-7920
10.4202/app.2011.0126	0567-7920
10.4202/app.2011.0127	0567-7920
10.4202/app.2011.0129	0567-7920
10.4202/app.2011.0130	0567-7920
10.4202/app.2011.0132	0567-7920
10.4202/app.2011.0138	0567-7920
10.4202/app.2011.0141	0567-7920
10.4202/app.2011.0143	0567-7920
10.4202/app.2011.0144	0567-7920
10.4202/app.2011.0146	0567-7920
10.4202/app.2011.0186	0567-7920
10.4202/app.2011.0188	0567-7920
10.4202/app.2011.0192	0567-7920
10.4202/app.2011.0194	0567-7920
10.4202/app.2011.0198	0567-7920
10.4202/app.2011.0200	0567-7920
10.4202/app.2011.0204	0567-7920
10.4202/app.2012.0001	0567-7920
10.4202/app.2012.0002	0567-7920
10.4202/app.2012.0004	0567-7920
10.4202/app.2012.0007	0567-7920
10.4202/app.2012.0013	0567-7920
10.4202/app.2012.0014	0567-7920
10.4202/app.2012.0019	0567-7920
10.4202/app.2012.0022	0567-7920
10.4202/app.2012.0025	0567-7920
10.4202/app.2012.0028	0567-7920
10.4202/app.2012.0044	0567-7920
10.4202/app.2012.0047	0567-7920
10.4202/app.2012.0052	0567-7920
10.4202/app.2012.0059	0567-7920
10.4202/app.2012.0061	0567-7920
10.4202/app.2012.0070	0567-7920
10.4202/app.2012.0074	0567-7920
10.4202/app.2012.0076	0567-7920
10.4202/app.2012.0083	0567-7920
10.4202/app.2012.0089	0567-7920
10.4202/app.2012.0091	0567-7920
10.4202/app.2012.0093	0567-7920
10.4202/app.2012.0101	0567-7920
10.4202/app.2012.0105	0567-7920
10.4202/app.2012.0107	0567-7920
10.4202/app.2012.0116	0567-7920
10.4202/app.2012.0117	0567-7920
10.4202/app.2012.0120	0567-7920
10.4202/app.2012.0121	0567-7920
10.4202/app.2012.0123	0567-7920
10.4202/app.2012.0124	0567-7920
10.4202/app.2012.0125	0567-7920
10.4202/app.2012.0128	0567-7920
10.4202/app.2012.0137	0567-7920
10.4202/app.2012.0147	0567-7920
10.4202/app.2012.0151	0567-7920
10.4202/app.2013.0011	0567-7920
10.4202/app.2013.0018	0567-7920
10.4202/app.2013.0037	0567-7920
10.4202/app.2013.0045	0567-7920
10.4202/pp.2011.66_001	0078-8562
10.4202/pp.2016.67_035	null
10.4202/pp.2016.67_067	null
10.4202/pp.2016.67_127	null
10.4202/pp.2016.67_171	null
10.4202/pp.2016.67_197	null
10.4202/ppres.2009.19	0138-0338
10.4203/ijrt.1.3.1	2049-5358
10.4204/EPTCS	2075-2180
10.4204/EPTCS.102.12	2075-2180
10.4204/EPTCS.120.7	2075-2180
10.4204/EPTCS.128	2075-2180
10.4204/EPTCS.236.12	2075-2180
10.4204/EPTCS.244.6	2075-2180
10.4204/EPTCS.268.2	2075-2180
10.4204/EPTCS.31	2075-2180
10.4204/EPTCS.63.21	2075-2180
10.4206/rev.austral.cienc.soc.1998.n2-06	0717-3202
10.4206/rev.austral.cienc.soc.2002.n6-10	0717-3202
10.4206/rev.austral.cienc.soc.2013.n24-02	0717-3202
10.4207/PA.2011.ART44	1545-0031
10.4207/PA.2011.ART63	1545-0031
10.4207/PA.2012.ART75	1545-0031
10.4207/PA.2013.ART79	1545-0031
10.4208/cicp.030709.210110a	1815-2406
10.4208/cicp.scpde14.preface	1815-2406
10.4208/jcm.1412-m2014-0041	0254-9409
10.4209/aaqr.2010.06.0048	1680-8584
10.4209/aaqr.2012.05.0138	1680-8584
10.4209/aaqr.2013.12.0361	1680-8584
10.4210/ssee.pbs.2011.0003	null
10.4212/cjhp.v62i6.840	1920-2903
10.4212/cjhp.v66i3.1261	1920-2903
10.4213/dm478	0234-0860
10.4213/im77	0373-2436
